Age Group,Gender,Highest / Current level of Education,Employment Status / Extra Activities,Academic Discipline,What post-secondary institution are you currently enrolled in? ,Describe your ChatGPT usage,What purpose does ChatGPT serve you? Select all that apply. ,Rate the effectiveness of ChatGPT in academia in terms of reliability,Using ChatGPT is a form of plagiarism.,How can academic institutions effectively use ChatGPT?,What are the main issues surrounding the use of ChatGPT in higher education?,ChatGPT should be permitted in academic settings.,What is your perception about the future use of ChatGPT in education as a learning tool?
18-25,Male,College / associate degree,Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,"Creative tool, Entertainment/leisure purposes",3 (Neutral),4 (Plagiarism),"Research aid (generating ideas), They can't","Over reliance on technology, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",2 (Not That Good)
18-25,Female,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,"Research tool, Resource for general information",2 (Not That Effective),4 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Virtual after-hours tutoring, Offer a personalized learning experience","Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Male,Undergraduate (Bachelors),Employed,Business,Toronto Metropolitan University,Rare,"Writing tool, Research tool",3 (Neutral),2 (Not Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Privacy concerns","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Male,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Very frequent,"Writing tool, Research tool, Educational tool, Resource for general information",4 (Pretty Effective),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Providing answers for academic work, Virtual after-hours tutoring, Content generation, Language learning, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism), Job loss (replace educators)","No, the use of ChatGPT should be prohibited in academia.",5 (Very Good)
18-25,Male,Undergraduate (Bachelors),Other commitments,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,"Research tool, Educational tool, Creative tool, Entertainment/leisure purposes, Resource for general information, I haven't used it",3 (Neutral),2 (Not Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",5 (Very Good)
18-25,Male,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,"Research tool, Creative tool, Entertainment/leisure purposes, Resource for general information",4 (Pretty Effective),3 (Neutral),"Research aid (generating ideas), Virtual after-hours tutoring, Offer a personalized learning experience","Over reliance on technology, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Male,High school diploma or equivalent,Unemployed,Natural Sciences and Applied Sciences,None,Rare,"Writing tool, Research tool, Creative tool, Entertainment/leisure purposes",3 (Neutral),4 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Providing answers for academic work, Content generation, Language learning","Over reliance on technology, Social disconnection, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Female,Undergraduate (Bachelors),Employed,Social Sciences,None,I am aware of it but I have not used it,I haven't used it,2 (Not That Effective),5 (Plagiarism),"Teaching aid (instructor lesson plans), Content generation","Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",2 (Not That Good)
18-25,Female,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Occasional,"Writing tool, Research tool, Educational tool",4 (Pretty Effective),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Language learning","Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Male,College / associate degree,Employed,Social Sciences,None,I am aware of it but I have not used it,I haven't used it,3 (Neutral),5 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)",I have a neutral stance on this.,3 (Okay)
Less than 18,Male,High school diploma or equivalent,Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Occasional,"Research tool, Creative tool, Entertainment/leisure purposes",3 (Neutral),2 (Not Plagiarism),Grading/feedback tool,Ethical concerns (weakens critical thinking),"Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,I haven't used it,3 (Neutral),4 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Language learning","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
26-34,Male,Graduate (Masters/PhD),Employed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,"Research tool, Creative tool, Life advice",2 (Not That Effective),5 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Virtual after-hours tutoring, Content generation, Language learning","Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism), Job loss (replace educators)","No, the use of ChatGPT should be prohibited in academia.",3 (Okay)
18-25,Male,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Very frequent,"Educational tool, Entertainment/leisure purposes",4 (Pretty Effective),2 (Not Plagiarism),"Teaching aid (instructor lesson plans), Grading/feedback tool, Virtual after-hours tutoring","Spread of misinformation, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",5 (Very Good)
Less than 18,Male,High school diploma or equivalent,Community Service,Business,None,Occasional,"Writing tool, Educational tool",4 (Pretty Effective),2 (Not Plagiarism),"Research aid (generating ideas), Grading/feedback tool, Providing answers for academic work, Virtual after-hours tutoring, Content generation, Language learning, Offer a personalized learning experience","Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",5 (Very Good)
18-25,Male,Undergraduate (Bachelors),Sports,Social Sciences,Other,Rare,"Writing tool, Research tool",3 (Neutral),3 (Neutral),"Virtual after-hours tutoring, Content generation, Language learning, Offer a personalized learning experience","Social disconnection, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
26-34,Male,Professional degree,Other commitments,Social Sciences,Other,Rare,"Creative tool, Entertainment/leisure purposes",2 (Not That Effective),5 (Plagiarism),"Research aid (generating ideas), Virtual after-hours tutoring, Language learning, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism), Job loss (replace educators)","No, the use of ChatGPT should be prohibited in academia.",2 (Not That Good)
18-25,Male,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Very frequent,Educational tool,4 (Pretty Effective),2 (Not Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Providing answers for academic work, Virtual after-hours tutoring, Content generation, Offer a personalized learning experience","Spread of misinformation, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",5 (Very Good)
Less than 18,Male,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Occasional,"Research tool, Educational tool, Resource for general information",3 (Neutral),3 (Neutral),"Research aid (generating ideas), Virtual after-hours tutoring","Over reliance on technology, Spread of misinformation, Social disconnection, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Occasional,"Research tool, Educational tool, Creative tool",4 (Pretty Effective),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Providing answers for academic work, Virtual after-hours tutoring, Content generation, Language learning, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Male,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Very frequent,"Research tool, Creative tool, Entertainment/leisure purposes, Resource for general information",3 (Neutral),4 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Content generation, Offer a personalized learning experience","Over reliance on technology, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Male,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,"Educational tool, Creative tool, Resource for general information",3 (Neutral),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Providing answers for academic work, Virtual after-hours tutoring, Content generation, Language learning, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism), Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
18-25,Female,Undergraduate (Bachelors),Educational Clubs,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Occasional,"Writing tool, Research tool, Educational tool",4 (Pretty Effective),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Providing answers for academic work","Over reliance on technology, Spread of misinformation, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
Less than 18,Female,High school diploma or equivalent,Unemployed,Natural Sciences and Applied Sciences,None,I am aware of it but I have not used it,"Research tool, Educational tool, Creative tool, Resource for general information, Life advice",3 (Neutral),3 (Neutral),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Virtual after-hours tutoring","Spread of misinformation, Social disconnection, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Male,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Rare,"Writing tool, Research tool",3 (Neutral),4 (Plagiarism),"Research aid (generating ideas), Content generation","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,I am aware of it but I have not used it,I haven't used it,3 (Neutral),3 (Neutral),Teaching aid (instructor lesson plans),"Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism), Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Very frequent,"Research tool, Educational tool, Resource for general information, Life advice",3 (Neutral),2 (Not Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool","Over reliance on technology, Spread of misinformation, Social disconnection, Privacy concerns, Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",3 (Okay)
18-25,Female,Undergraduate (Bachelors),Unemployed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Rare,"Research tool, Entertainment/leisure purposes",4 (Pretty Effective),5 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool","Over reliance on technology, Spread of misinformation, Social disconnection, Ethical concerns (weakens critical thinking), Privacy concerns, Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",2 (Not That Good)
18-25,Male,Undergraduate (Bachelors),Employed,Natural Sciences and Applied Sciences,Toronto Metropolitan University,Rare,"Research tool, Resource for general information",4 (Pretty Effective),4 (Plagiarism),"Teaching aid (instructor lesson plans), Research aid (generating ideas), Grading/feedback tool, Providing answers for academic work, Content generation, Language learning","Over reliance on technology, Ethical concerns (weakens critical thinking), Academic dishonesty (plagiarism)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
26-34,Female,College / associate degree,Employed,Natural Sciences and Applied Sciences,None,I am aware of it but I have not used it,"Writing tool, Research tool, Educational tool, I haven't used it",3 (Neutral),4 (Plagiarism),"Virtual after-hours tutoring, Content generation, Language learning, Offer a personalized learning experience","Over reliance on technology, Spread of misinformation, Ethical concerns (weakens critical thinking), Job loss (replace educators)","Yes, but it should be regulated with appropriate restrictions in place.",4 (Good)
